Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
1996;27;9;65;19;114;20;17;44;40;220;73;36;240;46;40;156;529;100;331;1600;487;363;916;109;91;177;108;5977
1997;31;13;76;14;81;13;14;36;47;173;76;60;250;35;38;181;537;103;323;1672;493;389;968;110;77;203;111;6124
1998;40;16;75;18;118;11;26;59;62;210;57;53;220;57;34;129;504;105;320;1620;540;375;1033;98;106;150;82;6118
1999;38;6;51;25;84;11;25;61;46;250;80;55;208;48;31;111;440;89;252;1407;486;368;1051;133;87;209;78;5730
2000;49;23;68;20;84;15;30;55;69;211;72;30;214;48;41;159;498;89;327;1274;485;407;988;159;113;258;78;5864
2001;47;27;90;17;91;27;36;84;100;313;99;38;194;79;53;201;667;95;365;1470;547;434;999;118;106;261;79;6637
2002;27;18;76;18;99;29;38;77;104;337;96;66;187;54;60;197;649;100;387;1390;484;408;975;150;119;282;68;6495
2003;38;21;87;18;102;33;56;55;120;299;141;65;215;49;57;232;749;114;284;1373;484;384;983;168;134;237;71;6569
2004;50;21;93;26;104;35;49;75;133;375;108;89;210;73;59;209;743;114;342;1378;536;393;995;171;139;235;75;6830
2005;56;18;89;26;129;36;48;89;121;449;141;96;206;54;56;285;805;124;348;1419;565;421;1011;174;129;243;78;7216
2006;51;23;95;28;131;22;50;133;152;340;132;117;205;56;53;303;837;122;345;1489;496;354;1071;180;148;214;92;7239
2007;34;36;125;39;163;24;68;130;188;360;122;108;248;79;67;341;856;105;290;1479;522;422;1011;164;131;227;86;7425
2008;54;29;134;31;189;31;61;144;183;416;137;133;225;80;76;312;874;114;281;1588;488;438;1088;164;153;286;87;7796
2009;61;29;144;32;161;23;69;123;170;389;131;135;235;86;79;310;933;122;268;1739;549;471;1051;186;155;238;102;7991
2010;62;32;150;33;161;28;69;164;172;366;128;130;199;57;91;337;894;133;417;1687;494;503;968;175;127;232;123;7932
2011;63;35;178;33;197;35;69;177;212;426;159;135;227;79;81;331;1045;134;380;1755;482;464;978;191;135;255;84;8340
2012;61;37;176;36;215;21;83;175;204;432;159;158;279;81;81;386;1098;124;418;1798;553;489;1105;194;162;325;117;8967
2013;72;44;211;29;195;46;79;202;198;508;142;166;271;116;88;416;1012;131;399;1964;571;515;1048;210;164;353;115;9265
2014;64;47;220;15;194;33;68;220;221;462;151;134;260;90;86;381;1174;132;471;1946;563;530;1034;190;146;367;130;9329
2015;94;37;249;51;248;48;85;243;246;477;136;182;246;92;91;434;1131;154;480;2042;631;577;1071;218;134;359;115;9871
2016;81;55;187;53;266;34;89;248;276;518;172;158;321;82;90;453;1141;150;521;1995;668;596;1086;208;160;426;139;10173
2017;93;62;192;43;278;45;104;274;287;578;168;210;351;86;92;521;1338;168;548;2087;662;663;1246;240;177;421;155;11089
2018;104;56;223;30;326;57;109;272;299;602;191;192;350;113;93;502;1351;189;633;2004;811;669;1141;247;212;425;152;11353
2019;116;67;247;47;331;59;122;303;306;564;187;216;389;109;95;576;1541;220;505;2128;834;729;1313;246;226;514;169;12159
2020;124;67;304;34;374;51;103;308;294;551;223;232;380;135;106;651;1477;214;662;2073;847;713;1333;222;244;521;165;12408
